,bank,name,address,x,y,행정구
0,NH농협은행,NH금융PLUS 광화문역센터,서울특별시 종로구 신문로1가 세종대로 149,37.5701894,126.9739225,종로구
1,NH농협은행,NH금융PLUS 반포역센터,서울특별시 서초구 반포동 잠원로 24,37.5071264,127.0098413,서초구
2,NH농협은행,NH금융PLUS 파크원센터,서울특별시 영등포구 여의도동 여의대로 108,37.5260497,126.928296,영등포구
3,NH농협은행,aT센터지점,서울특별시 서초구 양재동 강남대로 27,37.4786172,127.0360752,서초구
4,NH농협은행,가락동지점,서울특별시 송파구 가락동 중대로9길 60,37.4976231,127.1201545,송파구
5,NH농협은행,가락시장 중앙(출),서울특별시 송파구 가락동 양재대로 932,37.4934824,127.1115038,송파구
6,NH농협은행,가락시장지점,서울특별시 송파구 가락동 양재대로 932,37.4934824,127.1115038,송파구
7,NH농협은행,가산IT지점,서울특별시 금천구 가산동 가산디지털2로 108,37.4778463,126.8805444,금천구
8,NH농협은행,가양중앙지점,서울특별시 강서구 가양2동 양천로57길 9-7,37.5634435,126.8514629,강서구
9,NH농협은행,가좌지점,서울특별시 서대문구 남가좌동 모래내로 143,37.5756218,126.9194417,서대문구
10,NH농협은행,감사원지점,서울특별시 종로구 삼청동 북촌로 109,37.5861578,126.9848767,종로구
11,NH농협은행,강남대기업금융센터,서울특별시 강남구 역삼동 강남대로 388,37.4974076,127.0283491,강남구
12,NH농협은행,강남세곡지점,서울특별시 강남구 자곡동 자곡로 180,37.4735878,127.1030378,강남구
13,NH농협은행,강남역금융센터,서울특별시 강남구 역삼동 강남대로 388,37.4974076,127.0283491,강남구
14,NH농협은행,강북중앙금융센터,서울특별시 강북구 수유동 도봉로 373,37.6406193,127.0279729,강북구
15,NH농협은행,개롱역지점,서울특별시 송파구 가락동 오금로 404,37.4956865,127.1184047,송파구
16,NH농협은행,개포동지점,서울특별시 강남구 개포동 논현로 98,37.4782624,127.045144,강남구
17,NH농협은행,거여역지점,서울특별시 송파구 거여동 오금로 512,37.4926895,127.1455361,송파구
18,NH농협은행,경동시장지점,서울특별시 동대문구 제기동 왕산로 147,37.5787384,127.0396677,동대문구
19,NH농협은행,공덕역지점,서울특별시 마포구 공덕동 마포대로 127,37.5462279,126.9521688,마포구
20,NH농협은행,공항동지점,서울특별시 강서구 공항동 공항대로 11,37.5618953,126.8085851,강서구
21,NH농협은행,광화문금융센터,서울특별시 중구 태평로1가 세종대로 124,37.56770180000001,126.9772803,중구
22,NH농협은행,광화문대기업금융센터,서울특별시 종로구 청진동 종로5길 7,37.5714504,126.9801788,종로구
23,NH농협은행,구로디지털금융센터,서울특별시 구로구 구로동 디지털30길 28,37.4821146,126.8953185,구로구
24,NH농협은행,구로지점,서울특별시 구로구 구로4동 구로동로 124,37.4896354,126.8845482,구로구
25,NH농협은행,구파발지점,서울특별시 은평구 진관동 진관2로 29-21,37.6357331,126.9193544,은평구
26,NH농협은행,국군재정관리단(출),서울특별시 용산구 이태원동 회나무로 4,37.5382483,126.9883339,용산구
27,NH농협은행,국회지점,서울특별시 영등포구 여의도동 의사당대로 1,37.5310582,126.9153816,영등포구
28,NH농협은행,금호동지점,서울특별시 성동구 금호동2가 금호로 157,37.5530275,127.020416,성동구
29,NH농협은행,길동지점,서울특별시 강동구 길동 양재대로 1458,37.53593559999999,127.1396058,강동구
30,NH농협은행,길음역지점,서울특별시 성북구 길음동 길음로7길 6,37.6043055,127.0224453,성북구
31,NH농협은행,남대문금융센터,서울특별시 중구 남대문로5가 소월로 8,37.5588177,126.9752899,중구
32,NH농협은행,남서초지점,서울특별시 서초구 서초동 서초중앙로 62,37.4873185,127.0153363,서초구
33,NH농협은행,남영동지점,서울특별시 용산구 남영동 한강대로 294,37.5444802,126.9724939,용산구
34,NH농협은행,노원역지점,서울특별시 노원구 상계동 노해로 455,37.6541618,127.0585324,노원구
35,NH농협은행,녹번지점,서울특별시 은평구 응암동 은평로 240,37.6006822,126.9344324,은평구
36,NH농협은행,논현남지점,서울특별시 강남구 논현동 봉은사로 111,37.5051813,127.0257094,강남구
37,NH농협은행,논현동금융센터,서울특별시 강남구 논현동 학동로 158,37.5127464,127.0284752,강남구
38,NH농협은행,당산지점,서울특별시 영등포구 영등포동7가 버드나루로 84,37.5242915,126.9071195,영등포구
39,NH농협은행,대치동지점,서울특별시 강남구 대치동 삼성로 233,37.4977699,127.0606416,강남구
40,NH농협은행,도곡금융센터,서울특별시 강남구 도곡동 언주로30길 27,37.488445,127.0525603,강남구
41,NH농협은행,도곡동지점,서울특별시 강남구 도곡동 도곡로 194,37.4920023,127.0406691,강남구
42,NH농협은행,도봉지점,서울특별시 도봉구 방학동 도봉로 699,37.6668902,127.0425812,도봉구
43,NH농협은행,독산센터지점,서울특별시 금천구 독산동 두산로 75,37.4704407,126.8967047,금천구
44,NH농협은행,동대문지점,서울특별시 종로구 종로4가 종로 196,37.57061,126.9994111,종로구
45,NH농협은행,등촌동지점,서울특별시 강서구 등촌동 강서로 396,37.5608957,126.8393934,강서구
46,NH농협은행,등촌역지점,서울특별시 강서구 등촌1동 공항대로 525,37.5514711,126.8649809,강서구
47,NH농협은행,뚝섬지점,서울특별시 성동구 성수동2가 성덕정길 87,37.537933,127.0532131,성동구
48,NH농협은행,마곡기업센터지점,서울특별시 강서구 마곡동 양천로30길 123-28,37.56734489999999,126.8238207,강서구
49,NH농협은행,마곡역지점,서울특별시 강서구 마곡동 마곡중앙로 76,37.5604279,126.827521,강서구
50,NH농협은행,마들역지점,서울특별시 노원구 상계8동 동일로 1553,37.6657968,127.0543753,노원구
51,NH농협은행,마포금융센터,서울특별시 마포구 도화동 마포대로 67,37.5418134,126.9482837,마포구
52,NH농협은행,면목역지점,서울특별시 중랑구 면목1동 면목로 431,37.5904584,127.0867692,중랑구
53,NH농협은행,명동지점,서울특별시 중구 명동1가 명동길 73,37.5643815,126.986213,중구
54,NH농협은행,명일동지점,서울특별시 강동구 명일동 고덕로 262,37.5546405,127.1546233,강동구
55,NH농협은행,목동역금융센터,서울특별시 양천구 신정동 목동로 207,37.5270112,126.8636097,양천구
56,NH농협은행,목동지점,서울특별시 양천구 목동 목동중앙로 71,37.5360491,126.870158,양천구
57,NH농협은행,방배지점,서울특별시 서초구 방배동 방배로36길 3,37.493659,126.9902472,서초구
58,NH농협은행,법조타운지점,서울특별시 서초구 서초동 서초대로 254,37.4920139,127.0096292,서초구
59,NH농협은행,보광동지점,서울특별시 용산구 보광동 보광로 34,37.527528,127.0000007,용산구
60,NH농협은행,보라매타운지점,서울특별시 동작구 신대방동 보라매로5길 15,37.4920023,126.9242588,동작구
61,NH농협은행,보문동지점,서울특별시 성북구 보문동4가 보문로 98,37.5829136,127.0213683,성북구
62,NH농협은행,본점영업부,서울특별시 중구 충정로1가 통일로 120,37.5665004,126.9682574,중구
63,NH농협은행,봉은사로지점,서울특별시 강남구 삼성동 봉은사로 617,37.5149777,127.0627769,강남구
64,NH농협은행,북부법원지점,서울특별시 도봉구 도봉동 마들로 749,37.6773768,127.046979,도봉구
65,NH농협은행,북아현(출),서울특별시 서대문구 북아현동 북아현로 55,37.5622687,126.9554488,서대문구
66,NH농협은행,불광지점,서울특별시 은평구 불광동 통일로 728-1,37.61068059999999,126.9301891,은평구
67,NH농협은행,사당동지점,서울특별시 동작구 사당동 동작대로 57,37.48156549999999,126.9815216,동작구
68,NH농협은행,삼선교지점,서울특별시 성북구 동소문동3가 동소문로 40,37.5903868,127.0112534,성북구
69,NH농협은행,삼성역금융센터,서울특별시 강남구 대치동 테헤란로 522,37.5078874,127.0613547,강남구
70,NH농협은행,삼성역루첸타워지점,서울특별시 강남구 대치동 테헤란로 510,37.5071034,127.0584556,강남구
71,NH농협은행,삼양동지점,서울특별시 강북구 미아동 솔샘로 184,37.619969,127.0127927,강북구
