,자치구,소계,중국,미국,타이완,일본,베트남,몽골,필리핀,캐나다,인도,우즈베키스탄,영국,프랑스,타이,러시아(연방),독일,오스트레일리아,네팔,파키스탄,인도네시아,나이지리아,말레이시아,방글라데시,캄 보 디 아,사우디아라비아,홍       콩,뉴질랜드,카자흐스탄,스 리 랑 카,남아프리카 공화국,미  얀  마,싱 가 포 르,이       란,브  라  질,아 일 랜 드,스  웨  덴,이 탈 리 아,터       키,네 덜 란 드,키르기스스탄,멕  시  코,스  페  인,우크라이나,스  위  스,핀  란  드,가       나,벨  기  에,폴  란  드,이  집  트,오스트리아,수       단,아르헨티나,오       만,이 스 라 엘,페       루,덴  마  크,모  로  코,이  라  크
14,동대문구,22.0,6.2,7.6,14.7,21.9,20.5,15.9,7.2,12.0,22.4,8.9,8.8,10.0,9.8,15.2,5.6,21.1,8.9,11.7,12.7,21.9,18.8,19.6,4.9,20.8,8.8,12.6,10.7,19.7,9.8,10.8,19.5,7.3,12.1,15.6,9.2,16.8,11.2,22.6,14.2,9.6,10.1,10.3,19.6,14.1,7.4,18.1,11.6,7.4,19.0,8.3,0.0,5.3,9.0,19.8,10.4,61.1,
15,성북구,11.4,8.9,5.5,9.9,12.5,37.7,21.8,12.5,17.2,14.6,9.3,6.8,7.8,9.5,9.5,7.4,5.9,24.9,15.0,11.1,20.6,24.9,10.9,6.5,8.1,6.9,14.3,16.0,16.2,22.6,12.2,11.1,6.9,15.9,9.4,11.7,17.8,11.9,15.6,10.9,8.2,15.7,9.6,10.9,6.4,8.8,7.7,12.8,13.0,9.5,0.0,32.4,5.3,15.0,10.3,12.9,2.8,
16,서대문구,12.4,20.9,38.2,15.8,11.5,4.9,11.3,18.2,16.6,4.6,21.5,19.9,20.9,6.4,16.7,16.9,2.6,7.9,15.9,12.7,15.6,5.2,12.2,10.9,22.2,19.6,12.1,7.0,17.1,15.5,20.1,18.0,16.3,13.1,15.1,18.4,10.7,17.1,14.1,19.9,21.8,13.6,22.6,13.0,15.4,18.4,18.1,11.6,12.0,42.9,25.0,29.7,6.6,9.8,15.5,9.0,5.6,
17,마포구,8.9,25.5,22.7,23.2,4.6,2.3,7.0,15.6,11.3,2.3,16.5,28.7,20.2,8.1,15.9,12.8,3.5,5.6,12.5,7.9,9.8,6.1,7.1,48.4,21.8,19.6,6.3,5.9,17.9,3.4,17.6,9.2,14.2,20.6,19.8,24.5,10.0,17.8,6.5,18.0,22.3,8.6,23.3,10.1,6.4,22.8,12.9,14.6,13.9,4.8,8.3,0.0,3.9,6.0,6.9,15.4,8.3,
18,금천구,7.5,1.2,1.8,3.1,3.1,3.3,9.7,2.2,1.4,2.9,0.9,1.2,6.3,1.6,0.4,0.4,2.0,5.4,3.5,1.6,0.5,3.6,18.2,0.0,0.9,2.0,1.6,10.2,1.7,11.8,0.7,2.3,3.7,1.9,0.5,0.6,1.9,0.7,5.0,0.5,1.4,4.0,0.0,0.0,1.3,0.0,1.9,3.0,0.9,0.0,0.0,0.0,3.9,2.3,0.9,4.0,0.0,
19,동작구,9.8,4.9,3.8,7.5,10.1,3.5,5.0,6.8,5.9,4.9,4.9,6.5,7.5,5.8,7.1,3.2,2.3,13.8,6.4,17.5,4.2,10.7,7.6,0.0,3.9,4.9,3.3,7.5,4.3,6.2,2.5,6.1,2.0,5.6,6.3,5.8,4.9,8.4,5.5,8.1,7.3,6.6,5.5,10.1,11.5,5.1,4.5,9.1,3.7,9.5,4.2,0.0,2.6,11.3,2.6,6.0,13.9,
20,관악구,8.0,7.6,3.8,11.1,8.6,17.3,13.6,11.4,20.1,18.6,13.4,11.4,18.1,12.5,11.3,6.9,5.9,17.7,24.3,28.6,13.0,26.9,18.2,4.3,9.7,11.8,12.7,18.2,17.1,15.2,11.1,27.2,19.1,12.1,13.0,10.9,23.6,12.9,15.6,14.7,11.5,17.7,8.9,10.1,23.1,19.9,14.2,21.3,9.3,14.3,37.5,5.4,10.5,18.0,7.8,29.9,5.6,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,평균 x 수,중국,미국,타이완,일본,베트남,몽골,필리핀,캐나다,인도,우즈베키스탄,영국,프랑스,타이,러시아(연방),독일,오스트레일리아,네팔,파키스탄,인도네시아,나이지리아,말레이시아,방글라데시,캄 보 디 아,사우디아라비아,홍       콩,뉴질랜드,카자흐스탄,스 리 랑 카,남아프리카 공화국,미  얀  마,싱 가 포 르,이       란,브  라  질,아 일 랜 드,스  웨  덴,이 탈 리 아,터       키,네 덜 란 드,키르기스스탄,멕  시  코,스  페  인,우크라이나,스  위  스,핀  란  드,가       나,벨  기  에,폴  란  드,이  집  트,오스트리아,수       단,아르헨티나,오       만,이 스 라 엘,페       루,덴  마  크,모  로  코,이  라  크,
26,종로구,44785.56035,17150.04044,1366.342573,3099.398427,33414.45166,186.0370254,528.0528053,483.2049307,125.4561251,300.2597403,1246.694648,1536.573831,130.0337458,481.0767591,479.6579658,7012.987013,40037.56574,102.7972028,365.4668166,6.349206349,87.52260398,20.71197411,27.17391304,239.673913,183.2760596,35.29411765,105.1948052,64.70588235,21.36752137,819.2907801,517.562724,13.79310345,1512.601626,183.1775701,63.02083333,267.6880223,82.84789644,236.3636364,40.70351759,189.5734597,338.9671362,24.74747475,247.260274,417.3913043,46.15384615,165.4411765,109.0322581,29.87804878,533.3333333,0,16.66666667,172.972973,2432.894737,12.03007519,86.20689655,17.91044776,2.777777778,
27,중구,23782.10437,1917.994339,6099.48283,1661.82323,17656.859,2121.117038,1016.584158,2002.465331,1727.280626,9876.623377,1613.43127,1135.522859,248.4814398,31768.86994,3318.091809,280.5194805,46.95717506,514.9184149,171.0911136,14.28571429,608.318264,5.177993528,45.92391304,339.673913,545.3608247,432.3529412,7633.477633,655.0802139,3.418803419,163.9716312,367.0250896,46.36015326,79.67479675,33.64485981,408.3333333,381.3370474,253.7216828,336.013986,221.6080402,38.38862559,338.9671362,808.0808081,68.49315068,104.3478261,155.1282051,59.55882353,312.2580645,220.1219512,334.2592593,0,16.66666667,43.24324324,21.05263158,869.1729323,882.7586207,179.60199,0,
28,동대문구,159922.2511,1917.994339,2816.735623,9329.592781,62817.64616,13338.68842,3073.349835,340.3697997,1654.561251,7728.896104,758.1322141,1483.131897,891.0011249,1804.690832,2570.747075,146.3203463,5932.456799,336.5967366,1216.647919,101.5873016,2647.55877,1088.673139,1408.695652,44.02173913,3794.272623,79.41176471,1092.207792,213.9037433,452.1367521,675.3191489,322.5806452,996.5517241,131.7073171,157.9439252,468.75,303.3426184,875.0809061,358.041958,1017.58794,426.5402844,394.600939,202.020202,154.109589,528.2608696,155.1282051,73.52941176,505.8064516,220.1219512,59.25925926,76.19047619,16.66666667,0,21.05263158,108.2706767,456.0344828,219.4029851,1344.444444,
